image,stype,true_n,variant,total_area_px,framing,rep,guess,latency_s,error
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,0,1,0.63,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,1,1,0.4,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,2,1,0.48,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,3,1,0.51,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,4,1,0.44,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,0,1,0.44,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,1,1,0.49,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,2,1,0.42,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,3,1,0.41,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,4,1,0.58,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,0,1,0.68,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,1,1,0.47,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,2,1,0.48,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,3,1,0.35,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,4,1,0.44,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,0,1,0.47,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,1,1,0.41,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,2,1,0.42,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,3,1,0.43,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,4,1,0.46,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,0,1,0.52,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,1,1,0.38,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,2,1,0.47,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,3,1,0.48,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,4,1,0.46,
