image,stype,true_n,variant,total_area_px,framing,rep,guess,latency_s,error
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,0,1,1.28,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,1,,0.64,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,2,,0.66,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,3,1,2.41,
dot_tA_n01_v0_s71.png,A,1,0,380.1,objects,4,4,2.7,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,0,,0.57,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,1,,0.89,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,2,1,0.51,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,3,,0.69,
dot_tA_n01_v1_s71.png,A,1,1,452.4,objects,4,,1.95,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,0,,1.12,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,1,2,2.19,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,2,2,8.07,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,3,1,0.64,
dot_tA_n01_v2_s71.png,A,1,2,2463.0,objects,4,,0.81,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,0,,0.84,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,1,,0.68,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,2,,0.75,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,3,1,1.0,
dot_tA_n01_v3_s71.png,A,1,3,2827.4,objects,4,,1.43,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,0,,1.76,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,1,,0.77,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,2,,1.09,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,3,,0.51,
dot_tA_n01_v4_s71.png,A,1,4,1256.6,objects,4,1,0.77,
dot_tA_n01_v5_s71.png,A,1,5,3631.7,objects,0,,0.86,
dot_tA_n01_v5_s71.png,A,1,5,3631.7,objects,1,,0.77,
dot_tA_n01_v5_s71.png,A,1,5,3631.7,objects,2,,0.5,
dot_tA_n01_v5_s71.png,A,1,5,3631.7,objects,3,4,4.01,
dot_tA_n01_v5_s71.png,A,1,5,3631.7,objects,4,1,0.6,
dot_tA_n01_v6_s71.png,A,1,6,2290.2,objects,0,2,0.94,
dot_tA_n01_v6_s71.png,A,1,6,2290.2,objects,1,,0.86,
dot_tA_n01_v6_s71.png,A,1,6,2290.2,objects,2,,0.84,
dot_tA_n01_v6_s71.png,A,1,6,2290.2,objects,3,2,4.39,
dot_tA_n01_v6_s71.png,A,1,6,2290.2,objects,4,4,1.25,
dot_tA_n01_v7_s71.png,A,1,7,201.1,objects,0,,1.02,
dot_tA_n01_v7_s71.png,A,1,7,201.1,objects,1,,0.75,
dot_tA_n01_v7_s71.png,A,1,7,201.1,objects,2,3,2.95,
dot_tA_n01_v7_s71.png,A,1,7,201.1,objects,3,1,1.11,
dot_tA_n01_v7_s71.png,A,1,7,201.1,objects,4,,1.04,
dot_tA_n01_v8_s71.png,A,1,8,2827.4,objects,0,,1.2,
dot_tA_n01_v8_s71.png,A,1,8,2827.4,objects,1,2,0.77,
dot_tA_n01_v8_s71.png,A,1,8,2827.4,objects,2,2,0.7,
dot_tA_n01_v8_s71.png,A,1,8,2827.4,objects,3,,0.79,
dot_tA_n01_v8_s71.png,A,1,8,2827.4,objects,4,-1,0.95,
dot_tA_n01_v9_s71.png,A,1,9,1134.1,objects,0,,1.29,
dot_tA_n01_v9_s71.png,A,1,9,1134.1,objects,1,,2.24,
dot_tA_n01_v9_s71.png,A,1,9,1134.1,objects,2,,0.78,
dot_tA_n01_v9_s71.png,A,1,9,1134.1,objects,3,,0.83,
dot_tA_n01_v9_s71.png,A,1,9,1134.1,objects,4,1,1.17,
dot_tA_n02_v0_s71.png,A,2,0,2579.2,objects,0,4,1.65,
dot_tA_n02_v0_s71.png,A,2,0,2579.2,objects,1,2,0.83,
dot_tA_n02_v0_s71.png,A,2,0,2579.2,objects,2,2,0.6,
dot_tA_n02_v0_s71.png,A,2,0,2579.2,objects,3,,0.58,
dot_tA_n02_v0_s71.png,A,2,0,2579.2,objects,4,3,1.6,
dot_tA_n02_v1_s71.png,A,2,1,1118.4,objects,0,2,1.4,
dot_tA_n02_v1_s71.png,A,2,1,1118.4,objects,1,,0.5,
dot_tA_n02_v1_s71.png,A,2,1,1118.4,objects,2,2,1.19,
dot_tA_n02_v1_s71.png,A,2,1,1118.4,objects,3,,0.51,
dot_tA_n02_v1_s71.png,A,2,1,1118.4,objects,4,2,0.98,
dot_tA_n02_v2_s71.png,A,2,2,2777.2,objects,0,,1.62,
dot_tA_n02_v2_s71.png,A,2,2,2777.2,objects,1,8,2.86,
dot_tA_n02_v2_s71.png,A,2,2,2777.2,objects,2,2,0.62,
dot_tA_n02_v2_s71.png,A,2,2,2777.2,objects,3,,0.8,
dot_tA_n02_v2_s71.png,A,2,2,2777.2,objects,4,,1.48,
dot_tA_n02_v3_s71.png,A,2,3,3845.3,objects,0,2,2.6,
dot_tA_n02_v3_s71.png,A,2,3,3845.3,objects,1,2,0.49,
dot_tA_n02_v3_s71.png,A,2,3,3845.3,objects,2,2,1.29,
dot_tA_n02_v3_s71.png,A,2,3,3845.3,objects,3,,0.95,
dot_tA_n02_v3_s71.png,A,2,3,3845.3,objects,4,,0.63,
dot_tA_n02_v4_s71.png,A,2,4,6638.2,objects,0,,0.74,
