stype,n,variant,seed,total_area_px,mean_radius,n_circles,path
A,1,0,71,380.1,11.0,1,stimuli/dot_tA_n01_v0_s71.png
A,1,1,71,452.4,12.0,1,stimuli/dot_tA_n01_v1_s71.png
A,1,2,71,2463.0,28.0,1,stimuli/dot_tA_n01_v2_s71.png
A,1,3,71,2827.4,30.0,1,stimuli/dot_tA_n01_v3_s71.png
A,1,4,71,1256.6,20.0,1,stimuli/dot_tA_n01_v4_s71.png
A,1,5,71,3631.7,34.0,1,stimuli/dot_tA_n01_v5_s71.png
A,1,6,71,2290.2,27.0,1,stimuli/dot_tA_n01_v6_s71.png
A,1,7,71,201.1,8.0,1,stimuli/dot_tA_n01_v7_s71.png
A,1,8,71,2827.4,30.0,1,stimuli/dot_tA_n01_v8_s71.png
A,1,9,71,1134.1,19.0,1,stimuli/dot_tA_n01_v9_s71.png
A,2,0,71,2579.2,19.5,2,stimuli/dot_tA_n02_v0_s71.png
A,2,1,71,1118.4,13.0,2,stimuli/dot_tA_n02_v1_s71.png
A,2,2,71,2777.2,21.0,2,stimuli/dot_tA_n02_v2_s71.png
A,2,3,71,3845.3,24.0,2,stimuli/dot_tA_n02_v3_s71.png
A,2,4,71,6638.2,32.5,2,stimuli/dot_tA_n02_v4_s71.png
A,2,5,71,4027.5,25.0,2,stimuli/dot_tA_n02_v5_s71.png
A,2,6,71,4737.5,27.0,2,stimuli/dot_tA_n02_v6_s71.png
A,2,7,71,1237.8,14.0,2,stimuli/dot_tA_n02_v7_s71.png
A,2,8,71,1184.4,13.5,2,stimuli/dot_tA_n02_v8_s71.png
A,2,9,71,4439.1,25.5,2,stimuli/dot_tA_n02_v9_s71.png
A,3,0,71,5661.1,24.0,3,stimuli/dot_tA_n03_v0_s71.png
A,3,1,71,2255.7,14.67,3,stimuli/dot_tA_n03_v1_s71.png
A,3,2,71,2626.4,15.33,3,stimuli/dot_tA_n03_v2_s71.png
A,3,3,71,7166.0,26.33,3,stimuli/dot_tA_n03_v3_s71.png
A,3,4,71,2667.2,15.67,3,stimuli/dot_tA_n03_v4_s71.png
A,3,5,71,7367.0,27.67,3,stimuli/dot_tA_n03_v5_s71.png
A,3,6,71,2682.9,16.67,3,stimuli/dot_tA_n03_v6_s71.png
A,3,7,71,5698.8,22.67,3,stimuli/dot_tA_n03_v7_s71.png
A,3,8,71,5746.0,22.33,3,stimuli/dot_tA_n03_v8_s71.png
A,3,9,71,4297.7,20.0,3,stimuli/dot_tA_n03_v9_s71.png
A,4,0,71,4316.5,16.5,4,stimuli/dot_tA_n04_v0_s71.png
A,4,1,71,6160.7,21.75,4,stimuli/dot_tA_n04_v1_s71.png
A,4,2,71,8278.1,24.25,4,stimuli/dot_tA_n04_v2_s71.png
A,4,3,71,3157.3,14.75,4,stimuli/dot_tA_n04_v3_s71.png
A,4,4,71,5859.1,20.75,4,stimuli/dot_tA_n04_v4_s71.png
A,4,5,71,6870.7,22.25,4,stimuli/dot_tA_n04_v5_s71.png
A,4,6,71,6613.1,22.25,4,stimuli/dot_tA_n04_v6_s71.png
A,4,7,71,10197.6,28.0,4,stimuli/dot_tA_n04_v7_s71.png
A,4,8,71,6939.8,21.75,4,stimuli/dot_tA_n04_v8_s71.png
A,4,9,71,6914.6,23.25,4,stimuli/dot_tA_n04_v9_s71.png
A,5,0,71,5912.5,18.0,5,stimuli/dot_tA_n05_v0_s71.png
A,5,1,71,9377.7,23.4,5,stimuli/dot_tA_n05_v1_s71.png
A,5,2,71,7797.4,21.2,5,stimuli/dot_tA_n05_v2_s71.png
A,5,3,71,10059.4,24.8,5,stimuli/dot_tA_n05_v3_s71.png
A,5,4,71,7222.5,21.0,5,stimuli/dot_tA_n05_v4_s71.png
A,5,5,71,8516.9,22.2,5,stimuli/dot_tA_n05_v5_s71.png
A,5,6,71,10470.9,24.2,5,stimuli/dot_tA_n05_v6_s71.png
A,5,7,71,7169.1,20.8,5,stimuli/dot_tA_n05_v7_s71.png
A,5,8,71,8149.3,22.0,5,stimuli/dot_tA_n05_v8_s71.png
A,5,9,71,9217.4,24.0,5,stimuli/dot_tA_n05_v9_s71.png
A,6,0,71,11457.4,23.17,6,stimuli/dot_tA_n06_v0_s71.png
A,6,1,71,6820.4,18.5,6,stimuli/dot_tA_n06_v1_s71.png
A,6,2,71,9333.7,21.83,6,stimuli/dot_tA_n06_v2_s71.png
A,6,3,71,9773.5,20.17,6,stimuli/dot_tA_n06_v3_s71.png
A,6,4,71,8523.1,19.5,6,stimuli/dot_tA_n06_v4_s71.png
A,6,5,71,8513.7,20.0,6,stimuli/dot_tA_n06_v5_s71.png
A,6,6,71,11746.4,24.17,6,stimuli/dot_tA_n06_v6_s71.png
A,6,7,71,10571.5,22.83,6,stimuli/dot_tA_n06_v7_s71.png
A,6,8,71,5548.1,16.0,6,stimuli/dot_tA_n06_v8_s71.png
A,6,9,71,8108.5,19.83,6,stimuli/dot_tA_n06_v9_s71.png
A,7,0,71,12720.3,22.14,7,stimuli/dot_tA_n07_v0_s71.png
A,7,1,71,9528.5,19.86,7,stimuli/dot_tA_n07_v1_s71.png
A,7,2,71,10191.3,20.86,7,stimuli/dot_tA_n07_v2_s71.png
A,7,3,71,9157.7,19.29,7,stimuli/dot_tA_n07_v3_s71.png
A,7,4,71,12393.6,21.29,7,stimuli/dot_tA_n07_v4_s71.png
A,7,5,71,10697.1,19.86,7,stimuli/dot_tA_n07_v5_s71.png
A,7,6,71,8739.9,19.14,7,stimuli/dot_tA_n07_v6_s71.png
A,7,7,71,10467.8,20.86,7,stimuli/dot_tA_n07_v7_s71.png
A,7,8,71,14391.6,25.0,7,stimuli/dot_tA_n07_v8_s71.png
A,7,9,71,12688.9,22.14,7,stimuli/dot_tA_n07_v9_s71.png
A,8,0,71,9233.1,17.38,8,stimuli/dot_tA_n08_v0_s71.png
A,8,1,71,8677.1,17.75,8,stimuli/dot_tA_n08_v1_s71.png
A,8,2,71,11360.0,20.25,8,stimuli/dot_tA_n08_v2_s71.png
A,8,3,71,7828.8,16.0,8,stimuli/dot_tA_n08_v3_s71.png
A,8,4,71,15576.0,23.75,8,stimuli/dot_tA_n08_v4_s71.png
A,8,5,71,15758.2,23.5,8,stimuli/dot_tA_n08_v5_s71.png
A,8,6,71,12044.9,20.75,8,stimuli/dot_tA_n08_v6_s71.png
A,8,7,71,12673.2,21.5,8,stimuli/dot_tA_n08_v7_s71.png
A,8,8,71,15167.6,23.25,8,stimuli/dot_tA_n08_v8_s71.png
A,8,9,71,11482.5,19.88,8,stimuli/dot_tA_n08_v9_s71.png
A,9,0,71,15905.9,22.11,9,stimuli/dot_tA_n09_v0_s71.png
A,9,1,71,19151.1,25.33,9,stimuli/dot_tA_n09_v1_s71.png
A,9,2,71,11272.0,18.44,9,stimuli/dot_tA_n09_v2_s71.png
A,9,3,71,9952.6,17.33,9,stimuli/dot_tA_n09_v3_s71.png
A,9,4,71,15742.5,22.11,9,stimuli/dot_tA_n09_v4_s71.png
A,9,5,71,13288.9,20.44,9,stimuli/dot_tA_n09_v5_s71.png
A,9,6,71,10976.7,18.44,9,stimuli/dot_tA_n09_v6_s71.png
A,9,7,71,14064.9,20.11,9,stimuli/dot_tA_n09_v7_s71.png
A,9,8,71,10910.8,18.78,9,stimuli/dot_tA_n09_v8_s71.png
A,9,9,71,13760.2,20.22,9,stimuli/dot_tA_n09_v9_s71.png
A,10,0,71,12280.5,18.1,10,stimuli/dot_tA_n10_v0_s71.png
A,10,1,71,14690.1,20.2,10,stimuli/dot_tA_n10_v1_s71.png
A,10,2,71,12971.6,19.3,10,stimuli/dot_tA_n10_v2_s71.png
A,10,3,71,17784.6,22.9,10,stimuli/dot_tA_n10_v3_s71.png
A,10,4,71,17124.8,21.7,10,stimuli/dot_tA_n10_v4_s71.png
A,10,5,71,15777.1,20.8,10,stimuli/dot_tA_n10_v5_s71.png
A,10,6,71,15717.4,20.7,10,stimuli/dot_tA_n10_v6_s71.png
A,10,7,71,10650.0,16.4,10,stimuli/dot_tA_n10_v7_s71.png
A,10,8,71,13653.4,19.2,10,stimuli/dot_tA_n10_v8_s71.png
A,10,9,71,15742.5,21.3,10,stimuli/dot_tA_n10_v9_s71.png
A,12,0,71,16012.7,19.58,12,stimuli/dot_tA_n12_v0_s71.png
A,12,1,71,17602.3,20.58,12,stimuli/dot_tA_n12_v1_s71.png
A,12,2,71,20825.6,22.25,12,stimuli/dot_tA_n12_v2_s71.png
A,12,3,71,23791.3,22.92,12,stimuli/dot_tA_n12_v3_s71.png
A,12,4,71,19531.3,21.75,12,stimuli/dot_tA_n12_v4_s71.png
A,12,5,71,23712.7,24.17,12,stimuli/dot_tA_n12_v5_s71.png
A,12,6,71,28390.6,25.75,12,stimuli/dot_tA_n12_v6_s71.png
A,12,7,71,18972.1,20.58,12,stimuli/dot_tA_n12_v7_s71.png
A,12,8,71,18368.9,20.25,12,stimuli/dot_tA_n12_v8_s71.png
A,12,9,71,19864.3,21.42,12,stimuli/dot_tA_n12_v9_s71.png
A,15,0,71,19886.3,19.6,15,stimuli/dot_tA_n15_v0_s71.png
A,15,1,71,20018.2,19.6,15,stimuli/dot_tA_n15_v1_s71.png
A,15,2,71,28968.6,23.93,15,stimuli/dot_tA_n15_v2_s71.png
A,15,3,71,25371.5,21.33,15,stimuli/dot_tA_n15_v3_s71.png
A,15,4,71,22336.7,20.53,15,stimuli/dot_tA_n15_v4_s71.png
A,15,5,71,25666.8,21.2,15,stimuli/dot_tA_n15_v5_s71.png
A,15,6,71,16801.2,16.53,15,stimuli/dot_tA_n15_v6_s71.png
A,15,7,71,24809.2,21.53,15,stimuli/dot_tA_n15_v7_s71.png
A,15,8,71,22104.2,20.0,15,stimuli/dot_tA_n15_v8_s71.png
A,15,9,71,21871.8,19.87,15,stimuli/dot_tA_n15_v9_s71.png
A,20,0,71,22559.8,17.45,20,stimuli/dot_tA_n20_v0_s71.png
A,20,1,71,20982.7,16.85,20,stimuli/dot_tA_n20_v1_s71.png
A,20,2,71,21450.8,16.9,20,stimuli/dot_tA_n20_v2_s71.png
A,20,3,71,19072.6,16.15,20,stimuli/dot_tA_n20_v3_s71.png
A,20,4,71,23115.8,18.1,20,stimuli/dot_tA_n20_v4_s71.png
A,20,5,71,22515.8,17.35,20,stimuli/dot_tA_n20_v5_s71.png
A,20,6,71,30250.4,20.75,20,stimuli/dot_tA_n20_v6_s71.png
A,20,7,71,23599.6,18.1,20,stimuli/dot_tA_n20_v7_s71.png
A,20,8,71,25830.2,19.5,20,stimuli/dot_tA_n20_v8_s71.png
A,20,9,71,20103.1,16.25,20,stimuli/dot_tA_n20_v9_s71.png
A,25,0,71,23097.0,16.32,25,stimuli/dot_tA_n25_v0_s71.png
A,25,1,71,22531.5,16.0,25,stimuli/dot_tA_n25_v1_s71.png
A,25,2,71,23565.1,16.2,25,stimuli/dot_tA_n25_v2_s71.png
